               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.024169,           0.0063355,                   0,             0.95111,             0.98765,             0.98619,             0.68139,            0.022614,           0.0063529,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.023021,           0.0061374,                   0,             0.99826,             0.95062,             0.98914,             0.67506,            0.023947,           0.0063792,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.025243,           0.0061293,                   0,             0.98275,             0.98765,             0.98946,             0.63881,            0.026929,           0.0063786,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024557,           0.0063014,                   0,                   1,             0.96153,             0.99381,             0.65385,            0.023793,           0.0066418,                   0,            0.007129,            0.007129,            0.007129
                  60,             0.02375,            0.006103,                   0,             0.99009,             0.95062,             0.99183,             0.64672,            0.023154,           0.0069924,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023304,           0.0063538,                   0,             0.98138,             0.96296,             0.99334,             0.64891,            0.024884,           0.0070324,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.023514,           0.0063479,                   0,             0.98577,             0.97531,             0.99075,             0.63351,            0.023346,           0.0070287,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02372,           0.0061626,                   0,             0.98762,             0.98504,             0.99083,             0.65435,            0.022799,            0.006685,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.023732,           0.0062437,                   0,              0.9715,             0.98765,             0.98811,             0.64802,            0.023895,           0.0064066,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023169,           0.0062754,                   0,             0.98749,             0.97488,              0.9806,             0.66039,            0.023698,           0.0060974,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.022974,           0.0062585,                   0,             0.98657,             0.97531,             0.97748,             0.64571,            0.024551,           0.0051013,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023248,            0.006041,                   0,             0.98447,             0.95062,             0.98446,             0.64705,            0.023504,           0.0065697,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.022626,           0.0062553,                   0,             0.98759,             0.98279,              0.9778,             0.62746,            0.024804,           0.0063203,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.022235,           0.0058867,                   0,              0.9851,             0.97531,             0.98384,             0.65399,            0.025035,           0.0068087,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.022796,           0.0060804,                   0,             0.97495,             0.98765,              0.9846,             0.64289,            0.024147,           0.0062958,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.021954,           0.0059534,                   0,             0.98749,             0.97488,               0.988,             0.67317,            0.022959,           0.0064319,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.022573,           0.0058679,                   0,              0.9838,             0.96296,             0.98257,             0.64661,            0.023255,            0.006753,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021646,           0.0059844,                   0,              0.9873,             0.95994,             0.98709,             0.65582,            0.022643,           0.0069636,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.02188,           0.0060327,                   0,             0.97527,             0.97367,             0.98608,             0.66133,            0.022683,           0.0067858,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,             0.02161,           0.0059006,                   0,             0.98621,             0.98765,             0.97752,             0.66951,            0.023066,           0.0067668,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.021974,           0.0060011,                   0,             0.98452,             0.97531,             0.97879,              0.6405,            0.023899,           0.0074817,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,             0.02221,           0.0056937,                   0,             0.98652,             0.96296,             0.97211,             0.63304,              0.0242,           0.0071181,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.022277,           0.0059571,                   0,             0.97528,             0.97421,              0.9801,             0.63881,            0.023234,           0.0068307,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022039,           0.0060475,                   0,             0.98628,             0.96296,              0.9835,             0.66272,              0.0241,           0.0075767,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.020974,           0.0059579,                   0,             0.96617,             0.98765,             0.98729,             0.64958,            0.024565,            0.007627,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.021817,           0.0058789,                   0,             0.98526,             0.98765,              0.9785,             0.63982,             0.02195,           0.0067322,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.021099,           0.0058411,                   0,             0.98751,             0.98765,              0.9811,             0.62553,            0.024064,           0.0062935,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.021362,           0.0057423,                   0,             0.98763,             0.98592,             0.97817,             0.63728,            0.023515,           0.0060774,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.020586,           0.0061243,                   0,             0.98749,             0.97426,             0.97407,             0.63105,            0.023859,           0.0061786,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020071,           0.0056838,                   0,             0.98749,             0.97423,             0.98043,             0.65242,            0.022978,           0.0057709,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.020462,           0.0055593,                   0,              0.9859,             0.96296,             0.98311,             0.64063,            0.023594,           0.0071482,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.021065,           0.0057453,                   0,             0.98572,             0.96296,             0.98214,              0.6563,            0.023226,           0.0075056,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.020632,            0.005755,                   0,             0.98511,             0.96296,             0.97841,             0.62802,            0.023409,           0.0065459,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.021326,            0.005922,                   0,             0.98748,             0.97355,             0.97954,             0.66043,            0.023171,           0.0060021,                   0,            0.005644,            0.005644,            0.005644
                  90,             0.02041,           0.0056594,                   0,             0.98659,             0.97531,             0.98835,             0.68205,            0.022293,           0.0059237,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.020029,           0.0054521,                   0,             0.98628,             0.96296,             0.99072,             0.67509,            0.021774,           0.0060738,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.020658,           0.0057532,                   0,             0.97373,             0.97531,             0.97782,             0.65187,            0.023105,           0.0061219,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020159,           0.0059454,                   0,             0.97527,             0.97392,             0.97624,             0.64743,            0.023687,           0.0071734,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.019659,           0.0055121,                   0,             0.97442,             0.98765,             0.97807,             0.65353,            0.022308,           0.0060015,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.020512,           0.0058893,                   0,             0.97525,             0.97282,             0.97968,             0.64207,            0.023217,            0.006154,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.020029,           0.0055392,                   0,             0.98451,             0.93827,             0.98537,             0.67006,            0.022566,           0.0060283,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.019818,           0.0057578,                   0,             0.97396,             0.98765,             0.98619,             0.65793,            0.023589,           0.0062506,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.019467,           0.0057356,                   0,             0.98643,             0.97531,             0.98303,             0.66471,            0.022845,           0.0065001,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,             0.02045,           0.0057041,                   0,             0.98658,             0.97531,             0.98455,             0.65537,             0.02326,           0.0062762,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.019515,           0.0058726,                   0,             0.98749,             0.97456,             0.98602,             0.64143,            0.023749,           0.0070089,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.019756,           0.0051878,                   0,             0.97497,             0.97531,             0.98926,             0.65997,            0.022748,           0.0067013,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.019463,           0.0053178,                   0,             0.98457,             0.96296,             0.98979,             0.65282,            0.023265,           0.0069499,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020074,           0.0056749,                   0,             0.98748,             0.97345,              0.9875,             0.66019,            0.022841,           0.0071135,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.019855,           0.0058382,                   0,             0.98603,             0.97531,             0.98528,              0.6642,            0.022573,            0.007286,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019123,             0.00575,                   0,              0.9863,             0.97531,             0.98595,             0.67061,            0.022747,           0.0072707,                   0,            0.004852,            0.004852,            0.004852
